X		讓 認同 台灣 的 民眾 直線 上升 ，
LL	灰頭土臉	讓 執政黨 灰頭土臉 ，
LL	顏面 盡失	讓 中國 當局 顏面 盡失 。
X		讓 中國 容易 掌控 台灣 每 一 位 用戶 （ 包括 官員 、 立委 ） 的 個 資 。
X		顯見 青年 世代 儘管 掀起 要求 改革 的 洶湧 波濤 ，
X		聽到 他 更多 開示 兩岸 經濟 關係 密切 ，
X		黨國 當局 處理 美麗島 事件 ，
LL	損	黨政 分離 自 有損 馬英九 的 「 完全 執政 」 ，
LL	煙霧	釋放 「 雙英會 」 的 煙霧 。
X	贏得	贏得 二○一六 ，
X		繼 六月 「 白皮書 」 表明 強力 主導 香港 事務 之後 ，
PS	難道 這 是 人民 的 「 暴力 杯葛 」 嗎 ？	難道 這 是 人民 的 「 暴力 杯葛 」 嗎 ？
DT	難道 是 這樣 的 想法 嗎 ？	難道 是 這樣 的 想法 嗎 ？
NCL	「 暴鎮 」	難怪 「 暴鎮 」 之後 ，
X		關於 服貿協議 的 辯論 圍繞 著 對於 中國 利用 經濟 進一步 加強 對 台灣 主權 主張 的 憂慮 。
LL	離題	離題 且 目 無 災民 ，
LL	束手無策	雙手 獨攬 權力 的 馬英九 對 天災人禍 都 是 束手無策 。
NCL	雙手 獨攬 權力 的 馬英九	雙手 獨攬 權力 的 馬英九 對 天災人禍 都 是 束手無策 。
X		鮮少 溝通 誠意 ；
X		還 長 著 一 個 大 花苞 ，
LL	恐怖	還 有 多少 看 不 到 卻 更 恐怖 的 事情 正在 發生 ？
X		邀請 學生 代表 到 總統府 ，
X		輿論 攻勢 隨即 展開 。
LL	肖 話	講出 「 警察 受傷 人數 比 民眾 多 」 的 肖 話 ，
LL	謊話 連篇	謊話 連篇 的 官方 文宣 難以 混淆 大眾 視聽 ，
X		聲稱 將 服貿 協議 逕 送 院會 「 存查 」 ，
X		總統府 所謂 的 「 馬英九 總統 願 在 不 預設 任何 前提 下 ，
X	熱烈	獲得 台灣 人民 熱烈 支持 ，
X		檢警 加緊 偵辦 追訴 學生 ，
X	國際化	應 走 國際化 而 不 是 中國化 。
NCL	幫腔 幫閑 者	幫腔 幫閑 者 也 出動 ︰ 丁中江 在 電視 宣稱 ：
X		隨後 展開 二十四 天 的 抗爭 、 衝撞 與 對話 ，
LL	開門揖盜	選擇 開門揖盜 。
X		選擇 站 在 民意 與 年輕 世代 的 對立面 ，
ATA	甄妮	選出 歌星 甄妮 所 說 的 「 無能 領導 者 」 ，
LL	輸掉	輸掉 台灣 ，
LL	諷刺 	諷刺 的 是 ，
LL	激勵	激勵 愈來愈 多 人民 抗爭 。
X	擔心	擔心 與 中國 過度 緊密 ，
X		擔心 與 中國 過度 緊密 ，
X		擋不住 大江東 流
X		導致 立法院 的 生態 向 民意 微調 嗎 ？
X		導致 台灣 承諾 的 開放 程度 ，
X		學運 不論 最終 如何 「 退場 」 ，
LL	惡評	儘管 惡評 如 潮 ，
LL	最 爛	遭 各界 批評為 有史以來 最 爛 的 名單 ，
X	最 爛	遭 各界 批評為 有史以來 最 爛 的 名單 ，
PS	誰 會 看 不 懂 、 想 不 清楚 ？	誰 會 看 不 懂 、 想 不 清楚 ？
X	誰 會 看 不 懂 、 想 不 清楚 ？	誰 會 看 不 懂 、 想 不 清楚 ？
X	熱烈	數 月 後 且 在 九 合一 選舉 經 台灣 人民 以 選票 熱烈 回應 ，
X		數 月 後 且 在 九 合一 選舉 經 台灣 人民 以 選票 熱烈 回應 ，
X	矚目 	廣受 國際 矚目 。
X		廣受 國際 矚目 。
X		廣告 服務 等 行業 開放 ，
LL	無能	領導人 無能 絕非 國家 之 福 ，
X		領導人 無能 絕非 國家 之 福 ，
X		遠 高於 中國 承諾 的 開放 程度 。
X		製造 暴亂 ，
X		與 國人 切身 的 產業 生存 問題 ，
X		與 香港 的 處境 其實 相差 不 大 ，
X		與 我方 的 開放 承諾 有 明顯 差距 ；
X		與 民主 國家 往來 也 符合 台灣 利益 ，
X		與 民主 改革 站 在 對立面 的 威權 體制 ，
X		與 太陽 花 學運 若 合符 節 。
LL	憂慮	種種 這些 影響 國家 安全 的 憂慮 ，
LL	惡果	種下 了 惡果 。
X		種下 了 惡果 。
X		監察 委員 提名 名單 ，
LL	濫	監督 馬政府 濫 以 行政 命令 偷渡 對 中國 開放 政策 。
LL	偷渡	監督 馬政府 濫 以 行政 命令 偷渡 對 中國 開放 政策 。
NCL	醜 角色	盡 是 配合 演出 的 醜 角色 。
LL	漁獵	漁獵 最 大 的 利益 。
PS	滿意度 會 一路 滑到 九 趴 嗎 ？	滿意度 會 一路 滑到 九 趴 嗎 ？
LL	暴力	徹底 不顧 程序 正義 的 多數 暴力 ，
X		對照 學生 領袖 及 公民 團體 代表 的 要求 ，
X	對於 國人 有 任何 起碼 的 說明 與 釋疑 嗎 ？	對於 國人 有 任何 起碼 的 說明 與 釋疑 嗎 ？
X		對方 福建省 和 廣東省 局部 開放 ；
X		對 學生 製造 社會 壓力 不成 ，
NCL	向 中國 傾斜 政策	對 馬政府 向 中國 傾斜 政策 當頭棒喝 ，
LL	破產	對 香港 及 國際 間 的 承諾 破產 ，
X	破產	對 香港 及 國際 間 的 承諾 破產 ，
X		對 外 積極 與 美 歐 日 東協 等 貿易 夥伴 強化 經貿 關係 。
X		對 外 投資 也 都 集中 於 中國 ；
ATA	華爾街日報	對 內 有如 華爾街日報 所 指 的 ，
X		對 內 有如 華爾街日報 所 指 的 ，
PS	實質 薪資 所得 會 愈 拚 愈 回去 嗎 ？	實質 薪資 所得 會 愈 拚 愈 回去 嗎 ？
LL	不可 原諒	實在 不可 原諒 。
X		實在 不可 原諒 。
X		實 難 相提並論 。
X		實 令 人 難以 樂觀 。
X		鼓吹 自由 經貿 與 全球化 是 它 一貫 目標 。
X		違反 委員會 排 案 慣例 ，
LL	失敗 的	過去 失敗 的 手法 再現 ，
X		過去 失敗 的 手法 再現 ，
X		過去 一 年 台灣 從 悲觀 轉向 希望 。
X		運輸 服務業 開放給 中國 ，
X		跳脫 以往 政治 考量 模式 的 新 趨勢 。
X		該 黨 毫無 作為 ，
X		該 領 的 錢 繼續 領 ，
LL	肆	肆 行 其 直接 接觸 三 中 一 青 的 新 統戰 攻勢 ，
X		肆 行 其 直接 接觸 三 中 一 青 的 新 統戰 攻勢 ，
X		經濟部 投審會 颱風 天 加班 審查 投資 中國 案 ，
LL	「 以 商 逼 政 」	經濟 受制於 中國 所 導致 的 「 以 商 逼 政 」 效應 早已 發生 ，
X		經濟 受制於 中國 所 導致 的 「 以 商 逼 政 」 效應 早已 發生 ，
NCL	共匪	經過 幾 年 跟 共匪 如膠似漆 ，
X		經過 幾 年 跟 共匪 如膠似漆 ，
LL	虛晃 一 招	經過 兩岸 協商 虛晃 一 招 ，
NCL	元凶	經貿 孤立 台灣 的 元凶 與 幫凶
X		經貿 孤立 台灣 的 元凶 與 幫凶
X		當時 「 兩 大 報 」 的 社論 標題 「 支持 警總 依法 制裁 陰謀 暴力 份子 」 、 「 策動 暴行 應 受 國法 制裁 」 ，
X		當家 做主 的 普世 價值 深入 社會 人心 。
X		當局 宣稱 軍警 一百八十二 人 受傷 ，
X		當局 的 計畫 趕不上 變化 。
LL	黑道 恐嚇	當局 只 剩 消耗戰 和 黑道 恐嚇 的 伎倆 。
