標記內容	宣傳手法	原句
嚴 長壽	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
彭淮南	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
施振榮	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
童子賢	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
最 厲 的 鬼魅	ATF	這 半 年 多 來 折磨 黃世銘 最 厲 的 鬼魅 ，
邊緣化	ATF	台灣 的 政經 地位 勢必 更 邊緣化 ，
附庸 化	ATF	則 台灣 和 大陸 的 關係 就 可能 更 趨向 衛星 化 或 附庸 化 。
「 害台	ATF	卻 不無 可能 造成 「 害台 禍台 」 的 後果 。
禍台	ATF	卻 不無 可能 造成 「 害台 禍台 」 的 後果 。
邊緣化	ATF	無論 在 區域 經濟 或 國際 政治 上將 更 趨 邊緣化 ；
邊緣化	ATF	而 邊緣化 的 結果 ，
害台	ATF	即 不會 不 知 這 種 「 反中 抗中 變成 害台 禍台 」 的 弔詭 ；
禍台 」	ATF	即 不會 不 知 這 種 「 反中 抗中 變成 害台 禍台 」 的 弔詭 ；
禍台 」	ATF	彼等 皆 明明 知道 這 是 將 台灣 帶上 「 反中 抗中 變成 害台 禍台 」 的 絕路 。
「 害台	ATF	即 不無 可能 出現 無以 逆轉 的 「 害台 禍台 」 的 後果 。
禍台	ATF	即 不無 可能 出現 無以 逆轉 的 「 害台 禍台 」 的 後果 。
絕路	ATF	卻 仍 要 將 台灣 帶上 絕路 ？
民主 倒退	ATF	抗爭 者 更 應該 思考 如何 避免 以 反 民主 的 手段 造成 民主 倒退 的 危機 。
邊緣化	ATF	整 個 國家 亦 告 邊緣化 ；
邊緣化	ATF	當 台灣 因 全球化 而 被 徹底 邊緣化 後 ，
邊緣化	ATF	當 台灣 在 全球化 中 被 邊緣化 後 ，
邊緣化	ATF	同時 也 讓 民進黨 的 反對 角色 淪為 邊緣化 。
邊緣化	ATF	避免 經濟 遭到 邊緣化 ；
邊緣化	ATF	卻 儼然 被 邊緣化 。
邊緣化	ATF	話題 涉及 二○一六年 後 的 兩岸 可能 情勢 及 台灣 經貿 邊緣化 等 方面 ，
絕路	ATF	也 是 將 台灣 送上 絕路 。
絕路	ATF	這 種 井底之蛙 自尋 絕路 的 國策 主張 ，
邊緣化	ATF	更 未 計入 經貿 安全 邊緣化 帶動 的 政治 安全 邊緣化 。
邊緣化	ATF	更 未 計入 經貿 安全 邊緣化 帶動 的 政治 安全 邊緣化 。
「 害台	ATF	以致 將 「 反 中 」 操弄 成 「 害台 」 、 「 反 台 」 。
「 害台	ATF	這 豈不是 「 害台 ╱ 反 台 」 的 冷血 政策 ？
邊緣化	ATF	不但 會 使 台灣 在 世界 政經 情勢 中 更 趨 邊緣化 ，
邊緣化	ATF	亦 將 使 民進黨 在 兩岸 博弈 中 更加 邊緣化 ，
邊緣化	ATF	而 邊緣化 將 使 民進黨 不易 通過 二 〇 一六 的 總統 大選 ，
「 害台	ATF	還是 民進黨 的 杯葛 戰術 將 導致 「 害台 」 ，
邊緣化	ATF	但 在 全球化 當道 、 中國 崛起 及 台灣 邊緣化 的 走勢 下 ，
邊緣化	ATF	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
邊緣化	ATF	台灣 才 不會 因 抗拒 面對 中國 而 遭到 世界 邊緣化 。
