"meaningid","itemname","meaningno","sentenceno","meaning","meaningEn","sentence","sentenceCh","sentenceEn","wordclass"
"373","sneeru","0","1",,,,,,"動詞"
"35","laqi","0","1","小孩；孩童",,"laqi mqedil ka laqi na qbsuran Awi.","Awi的第一個孩子是女的.","Awi's first child is a girl.","名詞"
"33","keeman","0","1","晚上；夜晚",,"Ma ani keeman meepah namu?","你們怎麼連晚上都工作？","Why do you work even at night?","其它"
"965","psaun","0","1","使放置","to place something","Ga psaun tlenga na Takun ka dgiyaq kiya di.","Takun已在那座山嶺放了陷阱。",,
"40","nima","0","1","是誰的",,"nima sapah bgurah ga?","那棟新房子是誰的？","Whose new house is that?",
"1101","slmadac","0","1","獵刀","hunting knife","Mhungul hlmadac su gaga?","你那把獵刀很利嗎？","Is that hunting knife of yours edgy?","名詞"
"368","plabu","0","1","雲；霧；竹蜂",,"Skiya karac kanna ka plabu.","雲在空中飛翔。","Clouds are flying in the sky.","名詞"
"51","oda","1","0","要做的事","things to be done","Niqan oda su kusun?","你明天有事嗎？","Do you have work to do tomorrow?","名詞"
"380","maha","1","0","大約；約略","about","Maha so kenu knchedil?","大概有多重？","About how much does it weigh?",
"54","ware","1","0","麵條","noodle","Hngedi ware denu peni.","那就煮麵(來吃)吧。","Let's make some noodles (to eat).","名詞"
"57","tnunan","1","0","串","string","Kingal tnunan blebun ga mu witun.","我正在催熟一串香蕉。","I'm ripening a bunch of bananas.",
"357","bobo na","0","1","接續；之後","continuing; afterwards","Bobo na de, uka mmeyah di.","之後，他就再也沒來過。","He never came afterwards.",
"369","plabu","0","2","雲；霧；竹蜂",,"Uka plabu ka karac de, malu riyung karac denu.","沒有雲的天空會是好天氣。","A sky without clouds predicts good weather.","名詞"
"65","angal","0","1",,"take",,"Mona,請幫我拿衣服/ 請幫我脫衣服",,"動詞"
"1031","lihu","1","0","穿(針引線)",,"Lihu tiku qumi nii Robo, ini ku qita doriq.",,,"動詞"
"1032","lihu","2","0",,,,,,"動詞"
"74","bhege","0","1","白色",,"Ware qnqihan daha, hngedun qburic de mbhege denu.","用火灰去煮苧麻線會讓線更白。","Boiling ramie threads with ashes will make them whiter.","動詞"
"75","beyuq","0","1","as","liquid","Msibus beyuq walu ga.","那蜂蜜很甜。","The honey is sweet.","名詞"
"76","beyuq","0","2","as","liquid","Egu beyuq nunuh na bubu babuy ga, maha ini beyo paru beru na.","那個母豬的奶水充足，小豬會長的很快。","The sow has a lot milk. The piglet will grow fast.","名詞"
