標記內容	宣傳手法	原句	
鄭秀玲	ATA	台灣 大學 經濟系 教授 鄭秀玲 最近 又 指出 一 項 新 論據 ，	
鄭秀玲	ATA	根據 鄭秀玲 整理 的 項目 不 對等 對照表 中 ，	
國際 媒體	ATA	國際 媒體 也 嚴厲 譴責 。	
國際 媒體	ATA	國際 媒體 的 報導 應該 不 是 「 錯覺 」 。	
《 時代 》	ATA	《 時代 》 駐 北京 特派員 指出 ，	
紐約時報	ATA	」 《 紐約時報 》 指出 ，	
中國 移居 美國 的 經濟 社會 學者	ATA	一 位 中國 移居 美國 的 經濟 社會 學者 則 指出 ：	
《 彭博 商業 周刊 》	ATA	《 彭博 商業 周刊 》 的 評論 稱 ，	
華爾街日報	ATA	馬英九 拿 亞洲 華爾街日報 的 社論 為 自己 撐腰 。	
國際 媒體	ATA	要 談 國際 媒體 ，	
經濟 學人 雜誌	ATA	英國 經濟 學人 雜誌 稱 馬英九 「 無能 」 ，	
華爾街日報	ATA	華爾街日報 上 週 以 「 台灣 自甘 落後 」 （ Taiwan Leaves Itself Behind ） 為題 ，	
華爾街日報	ATA	不論 馬英九 的 講話 或 華爾街日報 社論 ，	
華爾街日報	ATA	剛 過 一百二十五 年 社慶 的 華爾街日報 ，	
華爾街日報	ATA	馬英九 單挑 華爾街日報 這 一 社論 高談闊論 ，	
台灣 公報	ATA	有如 台灣 公報 （ Taiwan Communique ） 總編輯 韋傑理 （ Gerrit van der Wees ） 十一日 在 台北 時報 （ Taipei Times ） 的 文章 所 指出	
長期 關心 台灣 的 專家	ATA	這 位 長期 關心 台灣 的 專家 所 說 的 ，	
華爾街日報	ATA	華爾街日報 未加 體察 ，	
希拉蕊	ATA	但 美國 前 國務卿 希拉蕊 （ Hillary Clinton ） 的 「 經濟 依賴 中國 、 台灣 容易 受傷 」 ，	
傳統 基金會	ATA	傳統 基金會 資深 研究員 威爾遜 （ William T . Wilson ） 的 「 經濟 傾斜 、 台灣 命運 操 諸 中國 政治 決定 」 ，	
華爾街日報	ATA	對 內 有如 華爾街日報 所 指 的 ，	
威爾遜	ATA	威爾遜 建議 美國 政府 以 實際 行動 促進 台灣 加入 ＴＰＰ ，	
「 紐約時報 」	ATA	「 紐約時報 」 本 週二 社論 指 「 在 香港 事態 之後 ，	
希拉蕊 ． 柯林頓	ATA	有如 希拉蕊 ． 柯林頓 所 說 ，	
甄妮	ATA	選出 歌星 甄妮 所 說 的 「 無能 領導 者 」 ，	
「 經濟 學人 」	ATA	他 的 無能 且 經 「 經濟 學人 」 國際 認證 。	
華爾街日報	ATA	最近 他 在 華爾街日報 專訪 中 強調 ，	
傳統 基金會	ATA	美國 傳統 基金會 日昨 也 強調 ，	
國際 媒體	ATA	許多 國際 媒體 看出 台灣 民意 這 一 明確 走勢 ，	
「 紐約時報 」	ATA	「 紐約時報 」 近日 刊登 幾 位 經濟 學者 研究 ，	
國際 媒體	ATA	國際 媒體 則 將 他 定位為 「 無能 」 。	
國際 媒體	ATA	國際 媒體 則 將 他 定位為 「 無能 」 。	
國際 媒體	ATA	而且 不 避諱 大 批 國際 媒體 正在 北京 現場 。	
紐約時報	ATA	紐約時報 的 評論 更 擔憂 ，	
華爾街日報	ATA	華爾街日報 的 評論 很 有 結論性 ，	
終極 統一	ATF	只有 追求 「 終極 統一 」 的 馬英九 執迷不悟 。	
統戰	ATF	肆 行 其 直接 接觸 三 中 一 青 的 新 統戰 攻勢 ，	
一 中	ATF	完成 超 穩定 一 中 結構 。	
一 中	ATF	從而 接下 一 個 綁手綁腳 的 「 一 中 架構 」 ！	
一 中	ATF	更 要 加緊 形塑 一 中 架構 ，	
一 中	ATF	加緊 趕工 一 中 架構 鞏固 工程 ，	
一 中	ATF	蓄意 要 把 台灣 鎖進 一 中 架構 。	
一 中	ATF	只 對 一 中 架構 起 了 鞏固 作用 。	
一 中	ATF	台灣 經濟 也 一步步 鎖進 一 中 市場 。	
一 中	ATF	一 以 追求 不可 逆轉 的 一 中 架構 。	
統戰	ATF	卻 被 共匪 統戰 ，	
一 中	ATF	把 「 九二 共識 」 深化 、 豐富 為 「 兩岸 同屬 一 中 」 。	
一 中	ATF	改變為 「 兩岸 同屬 一 中 」 的 國共 共識 ，	
一 中	ATF	以為 將來 過渡到 「 兩岸 同屬 一 中 」 ，	
一 中	ATF	他 的 用意 顯然 只是 想 用 「 同屬 一 中 」 ，	
一 中	ATF	把 台灣 與 二千三百萬 人 推向 「 一 中 流沙 」 ，	
一 中	ATF	馬 政府 現在 實踐 「 兩岸 同 屬 一 中 」 是 多麼 明目張膽 。	
一 中	ATF	隨著 馬英九 深化 一 中 框架 ，	
一 中	ATF	馬英九 從 「 一 中 各 表 」 深化 到 「 兩岸 同 屬 一 中 」 ，	
一 中	ATF	恐 將 迷航 於 「 一 中 萬有引力 」 ，	
一 中	ATF	ＥＣＦＡ 、 服貿 協議 、 亞投行 、 兩岸 同 屬 一 中 ，	
一 中	ATF	在 「 朱 習會 」 演出 馬英九 的 「 兩岸 同屬 一 中 」 劇本 之後 ，	
一 中	ATF	一 是 將 虛構 的 「 九二 共識 」 升級 為 更 虛構 的 「 兩岸 同屬 一 中 」 ，	
一 中	ATF	加緊 把 台灣 套上 「 兩岸 同屬 一 中 」 的 枷鎖 。	
一 中	ATF	相較 對 內 宣稱 「 一 中 各 表 」 時 ，	
一 中	ATF	民進黨 新 政府 不 接受 一 中 絞索 ，	
一 中	ATF	沒有 一 中 問題 ，	
一 中	ATF	一 中 之下 ，	
一 中	ATF	「 我 是 一 中生 、 我 反 黑箱 微調 課綱 」 。	
一 中	ATF	一起 為 未來 的 新政府 劃下 「 一 中紅線 」 ，	
一 中	ATF	新政府 不僅 無須 臣服 於 「 一 中紅線 」 ，	
一 中	ATF	只 對 同 表 一 中 、 追求 終極 統一 有 熱誠 。	
一 中	ATF	「 同 屬 一 中 、 終極 統一 」 乃是 他 執政 之後 的 國共 共識 ，	
一 中	ATF	「 同 屬 一 中 、 終極 統一 」 的 國共 共識 ，	
一 中	ATF	一 中 各 表 ，	
一 中	ATF	一 中 各 表 同 表 ，	
一 中	ATF	兩岸 同 屬 一 中 ，	
一 中	ATF	朱立倫 繼 兩岸 「 同 屬 一 中 」 論調 ，	
一 中	ATF	其實 只是 馬英九 、 朱立倫 「 只 顧 一 中 、 不顧 台灣 」 的 顯性 版本 ，	
一 中	ATF	把 一 中 框架 拴 得 更 緊 一些 ，	
一 中	ATF	接受 一 中 共識 ，	
一 中	ATF	馬英九 這 組 「 中華 台北隊 」 接受 一 中 共識 ，	
終極 統一	ATF	但 一意孤行 追求 終極 統一 ，	
一 中	ATF	一 中 各 表 、 同 屬 一 中 、 一 中 同 表 ，	
一 中	ATF	一 中 各 表 、 同 屬 一 中 、 一 中 同 表 ，	
一 中	ATF	一 中 各 表 、 同 屬 一 中 、 一 中 同 表 ，	
一 中	ATF	也 難逃 一 中 框架 的 陰影 。	
一 中	ATF	「 換 柱 不 換 一 中 」 ，	
一 中	ATF	國民黨 堅持 一 中 路線 ，	
一 中	ATF	所謂 「 兩岸 同 屬 一 中 」 ，	
一 中	ATF	它 預設 「 九二 共識 」 、 「 一 中 原則 」 等 政治 條件 ，	
一 中	ATF	主張 「 一 中 同 表 」 ，	
一 中	ATF	有 落入 「 兩岸 同 屬 一 中 」 問題 ，	
一 中	ATF	施壓 新 政府 接受 證明 只有 一 中 沒有 各 表 的 九二 共識 ，	
一 中	ATF	赤裸裸 臣服 於 一 中 原則 。	
一 中	ATF	正好 尖銳 對比 這 個人 「 一 中 有勁 、 各 表 無能 」 。	
一 中	ATF	新 政府 大可 擺脫 國 共 一 中 干擾 ，	
一 中	ATF	外交部 則 稱 針對 邀請函 牽扯 一 中 原則 的 抗議函 不宜 公布 ，	
一 中	ATF	把 獨立 現狀 修正 到 曖昧 一 中 。	
一 中	ATF	中國 絕對 會 把 它 視為 挪向 「 同 屬 一 中 」 的 第一 步 ，	
一 中	ATF	從而 承襲 「 一 中 各 表 」 走向 「 同 屬 一 中 」 的 歸宿 ？	
一 中	ATF	以 「 深化 九二 共識 」 取代 「 九二 共識 、 一 中 各 表 」 ，	
一 中	ATF	開門揖盜 歡迎 北京 把 台灣 同 屬 一 中化 ，	
一 中	ATF	閹割 「 一 中 各 表 」 ，	
一 中	ATF	日本 政府 承認 一 中 原則 ，	
一 中	ATF	此 舉 在 北京 「 九二 共識 、 同 屬 一 中 」 的 恫嚇聲 中 ，	
一 中	ATF	同時 蠻橫 灌輸 一 中 原則 成為 國際 組織 通則 ，	
一 中	ATF	社論 》 一 中 各 表 也 是 分裂 主張 ？	
一 中	ATF	紛紛 要求 洪在習 面前 一 中 各 表 ，	
一 中	ATF	洪在習 面前 「 求 一 中 原則 之 同 ，	
一 中	ATF	存 一 中 涵義 之 異 」 ，	
一 中	ATF	一 中 各 表 睜 一 隻 眼 閉 一 隻 眼 ，	
一 中	ATF	「 馬英九 執政 八 年 死抱 不 統 、 不獨 、 不 武 、 一 中 各 表 （ 即便 下台 ，	
一 中	ATF	馬英九 要 洪在習 面前 一 中 各 表 ，	
一 中	ATF	求 一 中 原則 之 同 ，	
一 中	ATF	馬英九 言 必 稱 一 中 各 表 ，	
一 中	ATF	馬英九 依舊 一 中 各 表 、 三 不 ，	
一 中	ATF	求 一 中 原則 之 同 ，	
一 中	ATF	馬英九 一 中 各 表 ，	
一 中	ATF	北京 原本 不 承認 所謂 的 一 中 各 表 ，	
一 中	ATF	北京 對 他 一 中 各 表 睜 一 隻 眼 閉 一 隻 眼 ，	
一 中	ATF	蔡英文 執政 之後 九二 共識 的 核心 又 變成 兩岸 同 屬 一 中 ，	
一 中	ATF	馬 且 遭 批 死抱 一 中 各 表 。	
一 中	ATF	不能 閃躲 模糊 讓 人 誤以為 一 中 有理 。	
一 中	ATF	三民主義 統一 中國 ，	
一 中	ATF	一 中 曖昧 各 表 ，	
一 中	ATF	總路線 還是 一 中 之下 的 各 表 同 表 之 爭 而已 ，	
一 中	ATF	或 明 或 暗地 吞下 「 同 屬 一 中 」 。	
一 中	ATF	自 成 一 國 而 非 同 屬 一 中 。	
一 中	ATF	一 中 框架 的 兩岸 互動 模式 遂 告 動搖 。	
一 中	ATF	自 鎖 於 一 中 囚虜 困境 ，	
一 中	ATF	而 一九九六年 來自 中國 的 飛彈 則 徹底 解構 了 「 一 中 神話 」 。	
一 中	ATF	到 廈門 參加 海峽 論壇 重 彈 一 中 同 表 、 和平 協議 ；	
一 中	ATF	則 由 消滅 共匪 、 三民主義 統一 中國 ，	
一 中	ATF	倒退 到 一 中 各 表 、 一 中 同 表 。	
一 中	ATF	一 中 各 表 ，	
一 中	ATF	一 中 同 表 ，	
一 中	ATF	堅持 「 九二 共識 、 一 中 各 表 」 。	
一 中	ATF	壓縮 一 中 各 表 的 想像 空間 。	
一 中	ATF	所謂 的 一 中 各 表 ，	
一 中	ATF	不斷 往 一 中 屋頂 趨近 ，	
一 中	ATF	馬英九 一 中 各 表 ，	
一 中	ATF	一 中 各 表 滋生 了 台灣 的 天然 獨 世代 ，	
一 中	ATF	北京 似 已 難耐 一 中 各 表 所 產生 的 灰色 地帶 ，	
一 中	ATF	「 他 直到 今天 還 死抱 著 所謂 一 中 各 表 、 不 統 、 不獨 、 不 武 ，	
一 中	ATF	他 卻 在 台灣 賣 力拚 一 中 。	
一 中	ATF	也 就是 來自 中國 的 一 中 憲法 。	
一 中	ATF	本土 政權 也 把 台灣 納入 一 中 憲法 ，	
一 中	ATF	從而 脫身 不 了 一 中 緊身衣 。	
一 中	ATF	將 台灣 自 一 中 概念 鬆綁 出來 ，	
一 中	ATF	中美 沒有 兩岸 同 屬 一 中 的 「 政治 契約 」 ，	
一 中	ATF	馬英九 卻 揚言 有 兩岸 同 屬 一 中 的 「 政治 契約 」 ，	
一 中	ATF	把 「 國共 一 中 共識 」 當作 翻 盤 的 法寶 ，	
一 中	ATF	此 時 還 在 擁抱 同 屬 一 中 的 中國 夢 ，	
一 中	ATF	完全 符合 美國 的 一 中 政策 ；	
一 中	ATF	從 連戰 到 馬英九 的 一 中 各 表 、 終極 統一 、 同 屬 一 中 ，	
一 中	ATF	偷渡 兩岸 同 屬 一 中 ，	
一 中	ATF	一 中 總路線 導致 國民黨 完全 在野 ，	
一 中	ATF	同時 扶植 認同 一 中 的 台灣 經濟 統派 。	
一 中	ATF	直到 不 抵抗 地 吞下 一 中 。	
一 中	ATF	那些 鼓吹 同 屬 一 中 ，	
